"d_date","t_count"
"2015-10-03",607
"2015-10-04",560
"2015-10-05",1495
"2015-10-06",1696
"2015-10-07",2097
"2015-10-08",1971
"2015-10-09",1667
"2015-10-10",605
"2015-10-11",472
"2015-10-12",731
"2015-10-13",1806
"2015-10-14",1493
"2015-10-15",1688
"2015-10-16",1423
"2015-10-17",648
"2015-10-18",461
"2015-10-19",1200
"2015-10-20",1759
"2015-10-21",2177
"2015-10-22",2503
"2015-10-23",1503
"2015-10-24",703
"2015-10-25",395
"2015-10-26",1410
"2015-10-27",2234
"2015-10-28",2531
"2015-10-29",1882
"2015-10-30",1599
"2015-10-31",701
"2015-11-01",484
"2015-11-02",1324
"2015-11-03",1939
"2015-11-04",1941
"2015-11-05",1713
"2015-11-06",1684
"2015-11-07",654
"2015-11-08",413
"2015-11-09",1382
"2015-11-10",2494
"2015-11-11",2088
"2015-11-12",1441
"2015-11-13",1768
"2015-11-14",726
"2015-11-15",425
"2015-11-16",1536
"2015-11-17",2276
"2015-11-18",2002
"2015-11-19",2063
"2015-11-20",1797
"2015-11-21",865
"2015-11-22",496
"2015-11-23",1237
"2015-11-24",1298
"2015-11-25",816
"2015-11-26",771
"2015-11-27",511
"2015-11-28",627
"2015-11-29",344
"2015-11-30",1170
"2015-12-01",2044
"2015-12-02",1810
"2015-12-03",1959
"2015-12-04",1506
"2015-12-05",683
"2015-12-06",778
"2015-12-07",1635
"2015-12-08",2024
"2015-12-09",2062
"2015-12-10",2011
"2015-12-11",1277
"2015-12-12",659
"2015-12-13",442
"2015-12-14",1248
"2015-12-15",1752
"2015-12-16",1731
"2015-12-17",1513
"2015-12-18",1389
"2015-12-19",635
"2015-12-20",379
"2015-12-21",1027
"2015-12-22",967
"2015-12-23",817
"2015-12-24",540
"2015-12-25",477
"2015-12-26",281
"2015-12-27",296
"2015-12-28",633
"2015-12-29",622
"2015-12-30",587
"2015-12-31",715
"2016-01-01",546
"2016-01-02",331
"2016-01-03",293
"2016-01-04",1039
"2016-01-05",1736
"2016-01-06",1932
"2016-01-07",1889
"2016-01-08",1586
"2016-01-09",669
"2016-01-10",446
"2016-01-11",1474
"2016-01-12",4925
"2016-01-13",2113
"2016-01-14",1778
"2016-01-15",1440
"2016-01-16",883
"2016-01-17",846
"2016-01-18",1266
"2016-01-19",1366
"2016-01-20",1654
"2016-01-21",1834
"2016-01-22",1669
"2016-01-23",758
"2016-01-24",614
"2016-01-25",1139
"2016-01-26",1216
"2016-01-27",1572
"2016-01-28",2057
"2016-01-29",1810
"2016-01-30",759
"2016-01-31",666
"2016-02-01",1687
"2016-02-02",2126
"2016-02-03",2395
"2016-02-04",2148
"2016-02-05",1684
"2016-02-06",976
"2016-02-07",669
"2016-02-08",1488
"2016-02-09",2284
"2016-02-10",2312
"2016-02-11",2144
"2016-02-12",1530
"2016-02-13",1151
"2016-02-14",650
"2016-02-15",930
"2016-02-16",1561
"2016-02-17",1708
"2016-02-18",1778
"2016-02-19",1714
"2016-02-20",916
"2016-02-21",531
"2016-02-22",1548
"2016-02-23",2314
"2016-02-24",2471
"2016-02-25",2519
"2016-02-26",1508
"2016-02-27",824
"2016-02-28",646
"2016-02-29",1781
"2016-03-01",2370
"2016-03-02",2280
"2016-03-03",2274
"2016-03-04",1574
"2016-03-05",749
"2016-03-06",895
"2016-03-07",1512
"2016-03-08",2075
"2016-03-09",1858
"2016-03-10",1936
"2016-03-11",1586
"2016-03-12",806
"2016-03-13",623
"2016-03-14",1655
"2016-03-15",2657
"2016-03-16",2575
"2016-03-17",2301
"2016-03-18",1523
"2016-03-19",717
"2016-03-20",619
"2016-03-21",1591
"2016-03-22",2417
"2016-03-23",2114
"2016-03-24",1473
"2016-03-25",1033
"2016-03-26",515
"2016-03-27",614
"2016-03-28",1367
"2016-03-29",1590
"2016-03-30",1580
"2016-03-31",1732
"2016-04-01",1379
"2016-04-02",724
"2016-04-03",489
"2016-04-04",1558
"2016-04-05",1652
"2016-04-06",1842
"2016-04-07",1550
"2016-04-08",1406
"2016-04-09",692
"2016-04-10",478
"2016-04-11",1497
"2016-04-12",2514
"2016-04-13",2340
"2016-04-14",2398
"2016-04-15",1538
"2016-04-16",615
"2016-04-17",208
"2016-04-18",1829
"2016-04-19",2231
"2016-04-20",2371
"2016-04-21",1832
"2016-04-22",1944
"2016-04-23",741
"2016-04-24",555
"2016-04-25",1449
"2016-04-26",2078
"2016-04-27",2525
"2016-04-28",2292
"2016-04-29",1417
"2016-04-30",653
"2016-05-01",427
"2016-05-02",1573
"2016-05-03",1766
"2016-05-04",1524
"2016-05-05",1859
"2016-05-06",1624
"2016-05-07",789
"2016-05-08",768
"2016-05-09",1395
"2016-05-10",1795
"2016-05-11",2084
"2016-05-12",2091
"2016-05-13",1545
"2016-05-14",674
"2016-05-15",499
"2016-05-16",1523
"2016-05-17",2188
"2016-05-18",2223
"2016-05-19",1912
"2016-05-20",1468
"2016-05-21",793
"2016-05-22",443
"2016-05-23",1659
"2016-05-24",2312
"2016-05-25",2229
"2016-05-26",1718
"2016-05-27",1272
"2016-05-28",507
"2016-05-29",473
"2016-05-30",1101
"2016-05-31",1194
"2016-06-01",1418
"2016-06-02",1777
"2016-06-03",1413
"2016-06-04",799
"2016-06-05",534
"2016-06-06",1614
"2016-06-07",2108
"2016-06-08",2197
"2016-06-09",2045
"2016-06-10",1488
"2016-06-11",639
"2016-06-12",1109
"2016-06-13",1480
"2016-06-14",2272
"2016-06-15",2443
"2016-06-16",2053
"2016-06-17",1459
"2016-06-18",739
"2016-06-19",786
"2016-06-20",1589
"2016-06-21",1761
"2016-06-22",4418
"2016-06-23",3055
"2016-06-24",1686
"2016-06-25",761
"2016-06-26",626
"2016-06-27",1653
"2016-06-28",2016
"2016-06-29",2316
"2016-06-30",1532
"2016-07-01",1247
"2016-07-02",742
"2016-07-03",504
"2016-07-04",1370
"2016-07-05",1490
"2016-07-06",2093
"2016-07-07",2691
"2016-07-08",1793
"2016-07-09",583
"2016-07-10",449
"2016-07-11",1540
"2016-07-12",2435
"2016-07-13",2407
"2016-07-14",2530
"2016-07-15",1653
"2016-07-16",669
"2016-07-17",630
"2016-07-18",1416
"2016-07-19",1569
"2016-07-20",1854
"2016-07-21",1642
"2016-07-22",1277
"2016-07-23",596
"2016-07-24",476
"2016-07-25",1519
"2016-07-26",1772
"2016-07-27",1849
"2016-07-28",1801
"2016-07-29",1191
"2016-07-30",704
"2016-07-31",510
"2016-08-01",1206
"2016-08-02",1366
"2016-08-03",1564
"2016-08-04",1856
"2016-08-05",1524
"2016-08-06",892
"2016-08-07",618
"2016-08-08",1259
"2016-08-09",1480
"2016-08-10",1346
"2016-08-11",1452
"2016-08-12",1399
"2016-08-13",690
"2016-08-14",579
"2016-08-15",1330
"2016-08-16",1388
"2016-08-17",1345
"2016-08-18",1584
"2016-08-19",1383
"2016-08-20",693
"2016-08-21",528
"2016-08-22",1191
"2016-08-23",1452
"2016-08-24",1531
"2016-08-25",1934
"2016-08-26",1516
"2016-08-27",610
"2016-08-28",561
"2016-08-29",1299
"2016-08-30",1665
"2016-08-31",1502
"2016-09-01",1586
"2016-09-02",1215
"2016-09-03",621
"2016-09-04",455
"2016-09-05",904
"2016-09-06",1459
"2016-09-07",1878
"2016-09-08",2052
"2016-09-09",1646
"2016-09-10",895
"2016-09-11",1243
"2016-09-12",1460
"2016-09-13",2245
"2016-09-14",3066
"2016-09-15",1925
"2016-09-16",1778
"2016-09-17",902
"2016-09-18",655
"2016-09-19",1553
"2016-09-20",1904
"2016-09-21",2427
"2016-09-22",2207
"2016-09-23",1575
"2016-09-24",869
"2016-09-25",615
"2016-09-26",2599
"2016-09-27",1953
"2016-09-28",2092
"2016-09-29",1795
"2016-09-30",1540
"2016-10-01",823
"2016-10-02",761
"2016-10-03",1443
"2016-10-04",2145
"2016-10-05",1832
"2016-10-06",1894
"2016-10-07",1859
"2016-10-08",974
"2016-10-09",1229
"2016-10-10",1062
"2016-10-11",1824
"2016-10-12",1636
"2016-10-13",1884
"2016-10-14",1691
"2016-10-15",905
"2016-10-16",825
"2016-10-17",1773
"2016-10-18",1754
"2016-10-19",2560
"2016-10-20",1699
"2016-10-21",1355
"2016-10-22",989
"2016-10-23",700
"2016-10-24",1655
"2016-10-25",1709
"2016-10-26",1849
"2016-10-27",1855
"2016-10-28",1555
"2016-10-29",966
"2016-10-30",872
"2016-10-31",1547
"2016-11-01",1783
"2016-11-02",1045
